uloha;varianta;varianta_en;metoda_reseni;metoda_reseni_en;pocet_reseni;nazev_souboru;zapsal(a) česky;zapsal(a) anglicky;zkontroloval(a) na webu;svg_ilustrace;;;;;;;;;;;;;;;;;;;;
např. BBB, PPP...; BUDE POUŽITO JAKO NÁZEV;varianta přeložena do angličtiny;přepsat z prvního listu;metoda řešení přeložena do angličtiny;pouze číslo;stejný název pro .ggb a .txt soubor - bez diakritiky a mezer // překlad má na konci _en.txt;kdo zapsal informace do řádku?;kdo zapsal řádky v en?;zatím nic;!nevyplňovat ani neměnit!;;;;;;;;;;;;;;;;;;;;
BKK;Dotýkající se kružnice, různé velikosti, bod na kružnici;Two externally tangent circles, different sizes, point on the circle;Kruhová inverze;Circle inversion;1;bkk_dotykajici_se_kruznice_ruzne_velikosti_bod_na_kruznici;Klára, Eliška;Markéta Zemanová;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""35"" cy=""34"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""74"" cy=""68"" r=""22"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""80"" cy=""47"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Vnitřní dotyk kružnic, bod venku;Two circles with inner contact, point outside the circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bkk_vnitrni_dotek_bod_venku;Filip K.;Filip K.;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""65"" cy=""50"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""50"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""84"" cy=""12"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Dvě protínající se kružnice, bod leží vně;Point and two intersecting circles;Kruhová inverze;Circle inversion;2;bkk_protinajici_se_kruznice;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""40"" cy=""50"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""60"" cy=""50"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""80"" cy=""12"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Vnitřní dotyk kružnic, bod mezi kružnicemi;Two circles with inner contact, point between the circles;Kruhová inverze;Circle inversion;3;bkk_vnitrni_dotek_bod_mezi;Filip K.;Filip K.;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""65"" cy=""50"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""50"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""31"" cy=""26"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Vnitřní dotyk kružnic, bod na větší;Two circles with inner contact, point on the larger circle;kruhová inverze;Circle inversion;1;bkk_vnitrni_dotyk_bod_na_vetsi;Adam K., Michal ;honza v;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""65"" cy=""50"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""50"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""15.5"" cy=""30"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Vnitřní dotyk kružnic, bod na menší;Two circles with inner contact, point on the smaller circle;kruhová inverze;Circle inversion;1;bkk_vnitrni_dotyk_bod_na_mensi;Adam K., Michal ;honza v;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""65"" cy=""50"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""50"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""45"" cy=""35"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Vnitřní dotyk kružnic, bod uvnitř kružnic;Two circles with inner contact, point inside the circles;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bkk_vnitrni_dotek_bod_vevnitr;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""65"" cy=""50"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""50"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""60"" cy=""40"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Vnitřní dotyk kružnic, bod v bodu dotyku;Two circles with inner contact, point on the common point;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;bkk_vnitrni_dotek_bod_v_pruseciku;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""65"" cy=""50"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""50"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""90"" cy=""50"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BK;Bod na kružnici;Point on the circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;bk_bod_na_kruznici;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""49"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""95.5"" cy=""32.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BK;Bod uvnitř kružnice;Point inside the circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;bk_bod_uvnitr_mnoziny;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""49"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""72.5"" cy=""32.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BK;Bod mimo kružnici;Point outside of circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;bk_bod_mimo_mnoziny;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""49"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""95.5"" cy=""15.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBP;Dva body ležící na polopřímce kolmé na přímku;Two points on the same half-plane, lying on the perpendicular;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bbp_body_na_stejne_polorovine_na_kolmici;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""60"" y1=""-20"" x2=""46"" y2=""73"" stroke=""gray"" stroke-width=""2"" stroke-opacity=""0.5""/> <circle cx=""53.5"" cy=""22.5"" r=""3.5"" fill=""black""/> <circle cx=""49.5"" cy=""50.5"" r=""3.5"" fill=""black""/> <line x1=""-20"" y1=""64"" x2=""110"" y2=""82"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBP;Body na stejné polorovině, na rovnoběžce;Points parallel to a line;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bbp_body_na_stejne_polorovine_a_na_rovnobezce;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-20"" y1=""30"" x2=""110"" y2=""46"" stroke=""gray"" stroke-width=""2"" stroke-opacity=""0.5""/> <circle cx=""63.5"" cy=""40.5"" r=""3.5"" fill=""black""/> <circle cx=""30.5"" cy=""36.5"" r=""3.5"" fill=""black""/> <line x1=""-20"" y1=""64"" x2=""110"" y2=""80"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBP;Jeden bod na přímce;One point on the line;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bbp_jeden_bod_na_primce;Adam K.;Ana R.;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""71.4"" cy=""40.5"" r=""3.5"" fill=""black""/> <circle cx=""32.5"" cy=""56.5"" r=""3.5"" fill=""black""/> <line x1=""64"" y1=""-20"" x2=""80"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBP;Body na stejné polorovině, oba leží na kolmici;Points lie on a half-plane perpendicular to a line;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bbp_body_na_stejne_polorovine_na_kolmici;;;;;;;;;;;;;;;;;;;;;;;;
BBP;Body na stejné polorovině;Line and two points in the same half-plane;Mocnost bodu ke kružnici;Power of a point;2;bbp_body_na_stejne_polorovine;Filip K.;Filip K.;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""71.4"" cy=""30.5"" r=""3.5"" fill=""black""/> <circle cx=""65.5"" cy=""70.5"" r=""3.5"" fill=""black""/> <line x1=""22"" y1=""-20"" x2=""40"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBP;Body na stejné polorovině;Points lie on a half-plane;Stejnolehlost;Dilation;2;bbp_body_na_stejne_polorovine_stejnolehlost;Eliška;Adam Sedlecký;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""71.4"" cy=""30.5"" r=""3.5"" fill=""black""/> <circle cx=""65.5"" cy=""70.5"" r=""3.5"" fill=""black""/> <line x1=""22"" y1=""-20"" x2=""40"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Body leží vně kružnice ve stejné vzdálenosti od středu;Points lie outside a centre equidistant from it;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bbk_body_vne_oba_stejne_daleko;;;;"<svg width=""101"" height=""101"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""61"" cy=""59"" r=""29"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""15"" cy=""35"" r=""3.5"" fill=""black""/> <circle cx=""35"" cy=""15"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Body leží vně kružnice;Both points outside a circle;Kruhová inverze;Circle inversion;2;bbk_oba_body_vne;Robert;Petr Souček;;"<svg width=""100"" height=""100"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""17.5"" cy=""20.5"" r=""3.5"" fill=""black""/> <circle cx=""40.5"" cy=""13.5"" r=""3.5"" fill=""black""/> <circle cx=""60"" cy=""60"" r=""35.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Body leží uvnitř kružnice ve stejné vzdálenosti od středu;Points inside a circle equidistant from the centre;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bbk_oba_body_uvnitr_stejna_vzdalenost_od_stredu;Lída;Adam Sedlecký;;"<svg width=""100"" height=""100"" viewBox=""0 0 100 100"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50"" cy=""50"" r=""48.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""36.5"" cy=""44.5"" r=""3.5"" fill=""black""/> <circle cx=""65.5"" cy=""50.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Bod leží vně a na kružnici, se středem jsou oba kolineární;One point insida a circle, one outside of the circle, both colinear with the centre of the circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bbk_bod_vne_a_bod_na_kružnici_kolinearita_se_stredem;;;;"<svg width=""100"" height=""100"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""55.5"" cy=""55.5"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""86.5"" cy=""80.5"" r=""3.5"" fill=""black""/> <circle cx=""10.5"" cy=""20.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Body leží uvnitř kružnice, jeden bod je středem;Both points in a circle, one is the centre;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bbk_oba_body_uvnitr_jeden_bod_je_stred;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""49"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""72.5"" cy=""32.5"" r=""3.5"" fill=""black""/> <circle cx=""50.5"" cy=""50.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Body leží uvnitř kružnice ve stejné vzdálenosti od středu, se středem jsou oba kolineární;Points inside a circle equidistant from the centre and colinear with the centre;Množina bodů daných vlastností;Loci of points satisfying certain properties;2;bbk_oba_body_uvnitr_stejna_vzdalenost_od_stredu_na_primce_pres_stred;Lída;Franta P.;;"<svg width=""100"" height=""100"" viewBox=""0 0 100 100"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50"" cy=""50"" r=""48.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""34.5"" cy=""50.5"" r=""3.5"" fill=""black""/> <circle cx=""65.5"" cy=""50.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Body leží uvnitř kružnice;Both points inside a circle;Kruhová inverze;Circle inversion;2;bbk_oba_uvnitr;;;;"<svg width=""100"" height=""100"" viewBox=""0 0 100 100"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50"" cy=""50"" r=""48.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""28.5"" cy=""43.5"" r=""3.5"" fill=""black""/> <circle cx=""63.5"" cy=""65.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Bod leží uvnitř a na kružnici, se středem jsou oba kolineární;Point inside a circle and on the circle, both colinear with the centre of the circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bbk_bod_uvnitr_a_bod_na_kruznici_kolinearita_se_stredem;;;;"<svg width=""102"" height=""100"" viewBox=""0 0 102 100"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""52"" cy=""50"" r=""48.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""66.5"" cy=""50.5"" r=""3.5"" fill=""black""/> <circle cx=""3.5"" cy=""49.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Jeden bod vně, druhý na kružnici;Circle, one point on it and the second point outside the circle;Kruhová inverze;Circle inversion;1;bbk_na_kruznici_a_vne_kruhova_inverze;;;;"<svg width=""101"" height=""101"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""55"" cy=""55"" r=""29"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""15"" cy=""35"" r=""3.5"" fill=""black""/> <circle cx=""60"" cy=""27"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBB;Tři nekolineární body;Three non-colinear points;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bbb;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""72.5"" cy=""32.5"" r=""3.5"" fill=""black""/> <circle cx=""22.5"" cy=""27.5"" r=""3.5"" fill=""black""/> <circle cx=""42.5"" cy=""82.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBB;Tři nekolineární body;Three non-colinear points;Kruhová inverze;Circle inversion;1;bbb_inverze;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""72.5"" cy=""32.5"" r=""3.5"" fill=""black""/> <circle cx=""22.5"" cy=""48.5"" r=""3.5"" fill=""black""/> <circle cx=""59.5"" cy=""65.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BB;Dva body;Two points;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;bb;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""62.5"" cy=""32.5"" r=""3.5"" fill=""black""/> <circle cx=""35.5"" cy=""52.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BPK;bod leží na kružnici;Point on the circle;Stejnolehlost;Dilation;2;bpk_bod_na_kruznici_stejnolehlost;Filip;Filip;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""59.5"" cy=""40.5"" r=""30"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""72.5"" cy=""67.5"" r=""3.5"" fill=""black""/> <line x1=""-0"" y1=""20"" x2=""62"" y2=""140"" stroke=""black"" stroke-width=""3""/>";;;;;;;;;;;;;;;;;;;;
KPP;Rovnoběžné přímky jedna sečna a jedna tečna;Paralell lines one touches circle and one goes through;Množina bodů daných vlastností;Loci of points satisfying certain properties;3;ppk_rovnobezky_kruznice_dotyk_a_protnuti;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50"" cy=""40"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-100"" y1=""20"" x2=""190"" y2=""20"" stroke=""black"" stroke-width=""3""/> <line x1=""-100"" y1=""50"" x2=""180"" y2=""50"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Bod leží na kružnici a druhý uvnitř kružnice;One point on the circle, second inside the circle;Kruhová inverze;Circle inversion;1;bbk_bod_uvnitr_a_bod_na_kruznici_inverze;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 102 100"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""52"" cy=""50"" r=""48.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""66.5"" cy=""70.5"" r=""3.5"" fill=""black""/> <circle cx=""3.5"" cy=""49.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BBK;Bod leží na kružnici a druhý uvnitř kružnice;One point on the circle, second inside the circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bbk_bod_uvnitr_a_bod_na_kruznici;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 102 100"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""52"" cy=""50"" r=""48.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""66.5"" cy=""70.5"" r=""3.5"" fill=""black""/> <circle cx=""3.5"" cy=""49.5"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Kružnice bez průsečíku, nejsou uvnitř sebe, bod vně kružnic;Circles with no intersects outside each other, point lies outside both circles;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;bkk_bod_vne_kruznice_nejsou_uvnitr_sebe;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""33.5"" cy=""67.5"" r=""28"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""72.5"" cy=""70.5"" r=""3.5"" fill=""black""/> <circle cx=""70.5"" cy=""28.5"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Dvě kružnice uvnitř sebe, přímka prochází pásem;Two circles inside each other, line passes through their annulus;Kruhová inverze, dilatace;Circle inversion, dilation;4;kkp_kruznice_uvnitr_sebe_primka_prochazi_pasem_euklidovsky;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50"" cy=""55.5"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""45"" cy=""65"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-2"" y1=""-50"" x2=""110"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Dotýkající se kružnice, různé velikosti, bod v bodu dotyku kružnic;Two tangent circles of different sizes, point lies in the point of contact;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;bkk_dotykajici_se_kruznice_ruzne_velikosti_bod_v_bodu_dotyku_kruznic;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""24"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""70"" cy=""60"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""49.5"" cy=""44.5"" r=""4"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Dotýkající se kružnice, různé velikosti, bod leží vně na spojnici středů kružnic;Two tangent circles of different sizes, point is colinear with both centres;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;bkk_dotykajici_se_kruznice_ruzne_velikosti_bod_vne_lezici_na_spojnici_stredu_kruznic;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""24"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""59"" cy=""62"" r=""19"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""84.5"" cy=""88"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Kružnice bez průsečíku, nejsou uvnitř sebe, bod vně kružnic;Circles with no intersects outside each other, point lies outside both circles;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;bkk_bod_vne_kruznice_nejsou_uvnitr_sebe;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""24"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""66"" cy=""72"" r=""23"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""58"" cy=""70"" r=""3.5"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Dotýkající se kružnice stejné velikosti, bod na kružnici;Two tangent circles of the same size, point on the circle;Kruhová inverze;Circle inversion;1;bkk_dotykajici_se_kruznice_stejne_velikosti_bod_na_kruznici;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""32"" cy=""32"" r=""24.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""68"" cy=""68"" r=""24.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""69"" cy=""44"" r=""4"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Dotýkající se kružnice stejné velikosti, bod v bodu dotyku kružnic;Two tangent circles of the same size, point in lies in the point of contact;Množina bodů daných vlastností;Loci of points satisfying certain properties;∞;bkk_dotykajici_se_kruznice_stejne_velikosti_bod_v_bodu_dotyku_kruznic;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""32"" cy=""32"" r=""24.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""68"" cy=""68"" r=""24.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""50"" r=""4"" fill=""black""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Dvě kružnice uvnitř sebe, přímka tečnou vnější;Two circles inside each other, line tangent to the outer circle;Kruhová inverze;Circle inversion;2;kkp_kruznice_uvnitr_sebe_primka_tecnou_vnejsi_euklidovsky;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""40"" cy=""60"" r=""35"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""45"" cy=""65"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""10"" y1=""-50"" x2=""115"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
BKK;Dvě dotýkající se kružnice stejné velikosti, bod leží na spojnici středů;Two tangent circles of the same size, point is colinear with both centres;Kruhová inverze;Circle inversion;3;bkk_dotykajici_se_kruznice_stejne_velikosti_bod_vne_lezici_na_spojnici_stredu_kruznic;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""26.5"" cy=""50.5"" r=""23.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""65.5"" cy=""50.5"" r=""3.5"" fill=""black""/> <circle cx=""74.5"" cy=""50.5"" r=""23.5"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""50.5"" x2=""100"" y2=""50.5"" stroke=""gray"" stroke-width=""2"" stroke-opacity=""0.5""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Dvě kružnice uvnitř sebe, přímka tečnou vnitřní;Two circles inside each other, line tangent to the inner circle;Kruhová inverze, dilatace;Circle inversion, dilation;4;kkp_kruznice_uvnitr_sebe_primka_tecnou_vnitrni_euklidovsky;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50"" cy=""55.5"" r=""40"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""53"" cy=""65"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-2"" y1=""-50"" x2=""110"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Dvě kružnice s vnitřním dotykem, přímka mimo kružnice kolmá na spojnici středů;Two circles internally tangent circles, line outside the circle and perpendicular to a line throught the centers;Množina bodů daných vlastností;Loci of points satisfying certain properties;1;kkp_kruznice_ruzne_velke_vnitrni_dotyk_primka_mimo_kolma_na_spojnici_stredu;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50"" cy=""40"" r=""35"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""30"" r=""25"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""85"" x2=""162"" y2=""85"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
