uloha;varianta;varianta_en;metoda_reseni;metoda_reseni_en;pocet_reseni;nazev_souboru;zapsal(a) česky;zapsal(a) anglicky;zkontroloval(a) na webu;svg_ilustrace;;;;;;;;;;;;;;;;;;;;
např. BBB, PPP...; BUDE POUŽITO JAKO NÁZEV;varianta přeložena do angličtiny;přepsat z prvního listu;metoda řešení přeložena do angličtiny;pouze číslo;stejný název pro .ggb a .txt soubor - bez diakritiky a mezer // překlad má na konci _en.txt;kdo zapsal informace do řádku?;kdo zapsal řádky v en?;zatím nic;!nevyplňovat ani neměnit!;;;;;;;;;;;;;;;;;;;;
KPP;Dvě různoběžné přímky, jedna je tečnou a druhá sečnou;Two diverging lines, one is tangential to a circle and the other is intersecting the circle;Stejnolehlost;Dilation;6;ppk_ruznobezne_primky_kruznice_dotyk_a_protnuti;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""20"" x2=""110"" y2=""25"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""-20"" x2=""70"" y2=""110"" stroke=""black"" stroke-width=""3""/> <circle cx=""60"" cy=""42"" r=""27"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Dvě různoběžné přímky, jejich průsečík leží na kružnici, jedna přímka je tečnou;Two diverging lines with their intersect on a circle, one line is tangential to the circle;Stejnolehlost;Dilation;2;ppk_ruznobezne_primky_kruznice_prusecikem_jedna_tecna;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""29"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-50"" y1=""30.5"" x2=""120"" y2=""80.5"" stroke=""black"" stroke-width=""3""/> <line x1=""21.5"" y1=""150"" x2=""21.5"" y2=""-110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Různoběžné přímky, kružnice průsečíkem, obě sečny;Diverging lines with their intersect on a circle, both intersecting the circle;Kruhová inverze;Circle inversion;4;ppk_ruznobezky_kruznice_prusecikem_primky_secny;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""50.5"" cy=""50.5"" r=""29"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""10"" x2=""152"" y2=""110"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""-34"" x2=""62"" y2=""110"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Dvě různoběžné přímky, jejich průsečík leží uvnitř kružnice;Two diverging lines with their intersect inside a circle;Stejnolehlost;Dilation;8;ppk_ruznobezky_prusecik_uvnitr_kruznice;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""40"" x2=""110"" y2=""45"" stroke=""black"" stroke-width=""3""/> <line x1=""25"" y1=""-20"" x2=""90"" y2=""110"" stroke=""black"" stroke-width=""3""/> <circle cx=""60"" cy=""42"" r=""27"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Dvě různoběžky, obě jsou tečnami kružnice;Two divergent lines, both tangential to a circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;ppk_ruznobezky_dve_tecny;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""55"" x2=""110"" y2=""-5"" stroke=""black"" stroke-width=""3""/> <line x1=""5"" y1=""-20"" x2=""60"" y2=""110"" stroke=""black"" stroke-width=""3""/> <circle cx=""64"" cy=""49"" r=""27"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Různoběžné přímky, jedna přímka protíná kružnici;Diverging lines, one is intersecting a circle;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;ppk_kruznice_protina_primku;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""55"" x2=""110"" y2=""20"" stroke=""black"" stroke-width=""3""/> <line x1=""5"" y1=""-20"" x2=""30"" y2=""110"" stroke=""black"" stroke-width=""3""/> <circle cx=""55"" cy=""45"" r=""27"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;různoběžné přímky, kružnice s jedním dotykem;Diverging lines, one line is tangent to a circle;Dilatace;Resizing;4;ppk_ruznobezky_kruznice_jeden_dotyk;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""55"" x2=""110"" y2=""-20"" stroke=""black"" stroke-width=""3""/> <line x1=""5"" y1=""-20"" x2=""30"" y2=""110"" stroke=""black"" stroke-width=""3""/> <circle cx=""55"" cy=""47"" r=""27"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KPP;Rovnoběžné přímky jedna sečna;Paralell line one goes through circle;;;2;pkk_rovnobezky_jedna_secna;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <line x1=""-10"" y1=""20"" x2=""110"" y2=""25"" stroke=""black"" stroke-width=""3""/> <line x1=""-10"" y1=""75"" x2=""110"" y2=""80"" stroke=""black"" stroke-width=""3""/> <circle cx=""50"" cy=""42"" r=""28"" fill=""none"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Dotýkající se kružnice, vnější dotyk, přímka procházející jednou kružnicí ;Two externally tangent circles, line intersects one of them;Množina bodů daných vlastností;Loci of points satisfying certain properties;4;kkp_dotykajici_se_kruznice_vnejsi_dotyk_primka_prochazi_jednou_kruznici;;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""22"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""69"" cy=""64"" r=""28"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""85"" x2=""162"" y2=""20"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
KKP;Dotýkající se kružnice, vnější dotyk, přímka neprotína kružnice;Two externally tangent circles, line does not intersect them;Kruhová inverze;Circle inversion;6;kkp_dotykajici_se_kruznice_vnejsi_dotyk_primka_neprotina_kruznice_eukl;Ondřej Zeman;;;"<svg width=""101"" height=""101"" viewBox=""0 0 101 101"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""> <circle cx=""30"" cy=""30"" r=""24"" fill=""none"" stroke=""black"" stroke-width=""3""/> <circle cx=""75"" cy=""30"" r=""20"" fill=""none"" stroke=""black"" stroke-width=""3""/> <line x1=""-20"" y1=""65"" x2=""162"" y2=""75"" stroke=""black"" stroke-width=""3""/> </svg>";;;;;;;;;;;;;;;;;;;;
